number\chinese\pinyin\english
1\阿姨\āyí\maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[gè]
2\啊\a\modal particle ending sentence, showing affirmation, approval, or consent
3\矮\ǎi\low; short (in length)
4\爱\ài\to love; affection; to be fond of; to like
5\爱好\àihào\to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[gè]
6\爱情\àiqíng\romance; love (romantic); CL:個|个[gè]
7\安静\ānjìng\quiet; peaceful; calm
8\安排\ānpái\to arrange; to plan; to set up
9\安全\ānquán\safe; secure; safety; security
10\暗\àn\dark; gloomy; hidden; secret; muddled; obscure; in the dark
11\按时\ànshí\on time; before deadline; on schedule
12\按照\ànzhào\according to; in accordance with; in the light of; on the basis of
13\八\bā\eight; 8
14\把\bǎ\to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle
15\爸爸\bàba\(informal) father; CL:個|个[gè],位[wèi]
16\吧\ba\(modal particle indicating polite suggestion); ...right?; ...OK?
17\白\bái\white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai
18\百\bǎi\hundred; numerous; all kinds of; surname Bai
19\班\bān\team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[gè]
20\搬\bān\to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically
21\半\bàn\half; semi-; incomplete; (after a number) and a half
22\办法\bànfǎ\means; method; way (of doing sth); CL:條|条[tiáo],個|个[gè]
23\办公室\bàngōngshì\an office; business premises; a bureau; CL:間|间[jiān]
24\帮忙\bāngmáng\to help; to lend a hand; to do a favor; to do a good turn
25\帮助\bāngzhù\assistance; aid; to help; to assist
26\包\bāo\to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[gè],隻|只[zhī]
27\包括\bāokuò\to comprise; to include; to involve; to incorporate; to consist of
28\饱\bǎo\to eat till full; satisfied
29\保护\bǎohù\to protect; to defend; to safeguard; protection; CL:種|种[zhǒng]
30\保证\bǎozhèng\guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[gè]
31\抱\bào\to hold; to carry (in one's arms); to hug or embrace; surround; cherish
32\抱歉\bàoqiàn\sorry; We apologize!; to feel apologetic; to regret
33\报道\bàodào\report; CL:篇[piān],份[fèn]
34\报名\bàomíng\to sign up; to enter one's name; to apply; to register; to enroll; to enlist
35\报纸\bàozhǐ\newspaper; newsprint; CL:份[fèn],期[qī],張|张[zhāng]
36\杯子\bēizi\cup; glass; CL:個|个[gè],支[zhī],枝[zhī]
37\北方\běifāng\north; the northern part a country; China north of the Yellow River
38\北京\běijīng\Beijing, capital of People's Republic of China; Peking; PRC government
39\倍\bèi\(two, three etc) -fold; times (multiplier); double; to increase or multiply
40\被\bèi\by (indicates passive-voice sentences or clauses); quilt; to cover (literary)
41\本\běn\roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally
42\本来\běnlái\original; originally; at first; it goes without saying; of course
43\笨\bèn\stupid; foolish; silly; slow-witted; clumsy
44\鼻子\bízi\nose; CL:個|个[gè],隻|只[zhī]
45\比\bǐ\(particle used for comparison and "-er than"); to compare; to contrast; to gesture (with hands); ratio
46\比较\bǐjiào\compare; contrast; fairly; comparatively; relatively; quite; rather
47\比赛\bǐsài\competition (sports etc); match; CL:場|场[chǎng],次[cì]
48\笔记本\bǐjìběn\notebook; CL:本[běn]
49\必须\bìxū\to have to; must; compulsory; necessarily
50\毕业\bìyè\graduation; to graduate; to finish school
51\遍\biàn\a time; everywhere; turn; all over; one time
52\变化\biànhuà\change; variation; to change; to vary; CL:個|个[gè]
53\标准\biāozhǔn\(an official) standard; norm; criterion; CL:個|个[gè]
54\表达\biǎodá\to voice (an opinion); to express; to convey
55\表格\biǎogé\form; table; CL:張|张[zhāng],份[fèn]
56\表示\biǎoshì\to express; to show; to say; to state; to indicate; to mean
57\表演\biǎoyǎn\play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chǎng]
58\表扬\biǎoyáng\to praise; to commend
59\别\bié\to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin
60\别人\biérén\other people; others; other person
61\宾馆\bīnguǎn\guesthouse; CL:個|个[gè],家[jiā]
62\冰箱\bīngxiāng\icebox; freezer cabinet; refrigerator; CL:臺|台[tái],個|个[gè]
63\饼干\bǐnggān\biscuit; cracker; cookie; CL:片[piàn],塊|块[kuài]
64\并且\bìngqiě\and; besides; moreover; furthermore; in addition
65\博士\bóshì\doctor; court academician (in feudal China); Ph.D.
66\不但\bùdàn\not only (... but also...)
67\不过\bùguò\only; merely; no more than; but; however; anyway (to get back to a previous topic)
68\不客气\bùkèqi\you're welcome; impolite; rude; blunt; don't mention it
69\不\bù\(negative prefix); not; no
70\不得不\bùdébù\have no choice or option but to; cannot but; have to; can't help it; can't avoid
71\不管\bùguǎn\no matter (what, how); regardless of; no matter
72\不仅\bùjǐn\not only (this one); not just (...) but also
73\部分\bùfèn\part; share; section; piece; CL:個|个[gè]
74\擦\cā\to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish
75\猜\cāi\to guess
