number\chinese\pinyin\english
1\爱\ài\to love; affection; to be fond of; to like
2\八\bā\eight; 8
3\爸爸\bàba\(informal) father; CL:個|个[gè],位[wèi]
4\吧\ba\(modal particle indicating polite suggestion); ...right?; ...OK?
5\白\bái\white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai
6\百\bǎi\hundred; numerous; all kinds of; surname Bai
7\帮助\bāngzhù\assistance; aid; to help; to assist
8\报纸\bàozhǐ\newspaper; newsprint; CL:份[fèn],期[qī],張|张[zhāng]
9\杯子\bēizi\cup; glass; CL:個|个[gè],支[zhī],枝[zhī]
10\北京\běijīng\Beijing, capital of People's Republic of China; Peking; PRC government
11\本\běn\roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally
12\比\bǐ\(particle used for comparison and "-er than"); to compare; to contrast; to gesture (with hands); ratio
13\别\bié\to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin
14\不客气\bùkèqi\you're welcome; impolite; rude; blunt; don't mention it
15\不\bù\(negative prefix); not; no
16\菜\cài\dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pán],道[dào]
17\茶\chá\tea; tea plant; CL:杯[bēi],壺|壶[hú]
18\长\cháng\length; long; forever; always; constantly
19\唱歌\chànggē\to sing a song
20\吃\chī\to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust
21\出\chū\to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc
22\出租车\chūzūchē\taxi
23\穿\chuān\to bore through; pierce; perforate; penetrate; pass through; to dress; to wear; to put on; to thread
24\船\chuán\a boat; vessel; ship; CL:條|条[tiáo],艘[sōu],隻|只[zhī]
25\次\cì\next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time
26\从\cóng\from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. zòng and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; surname Cong
27\错\cuò\mistake; error; blunder; fault; cross; uneven; wrong; CL:個|个[gè]
28\打电话\dǎdiànhuà\to make a telephone call
29\打篮球\dǎlánqiú\play basketball
30\大\dà\big; huge; large; major; great; wide; deep; oldest; eldest
31\大家\dàjiā\authority; everyone
32\但是\dànshì\but; however
33\到\dào\to (a place); until (a time); up to; to go; to arrive
34\的\de\of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive
35\得\de\structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc
36\等\děng\class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once
37\弟弟\dìdi\younger brother; CL:個|个[gè],位[wèi]
38\第一\dìyī\first; number one
39\点\diǎn\drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities
40\电脑\diànnǎo\computer; CL:臺|台[tái]
