number\chinese\pinyin\translations
1\阿姨\āyí\maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[gè]
2\啊\a\modal particle ending sentence, showing affirmation, approval, or consent
3\矮\ǎi\low; short (in length)
4\爱\ài\to love; affection; to be fond of; to like
5\爱好\àihào\to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[gè]
6\安静\ānjìng\quiet; peaceful; calm
7\八\bā\eight; 8
8\把\bǎ\to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle
9\爸爸\bàba\(informal) father; CL:個|个[gè],位[wèi]
10\吧\ba\(modal particle indicating polite suggestion); ...right?; ...OK?
11\白\bái\white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai
12\百\bǎi\hundred; numerous; all kinds of; surname Bai
13\班\bān\team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[gè]
14\搬\bān\to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically
15\半\bàn\half; semi-; incomplete; (after a number) and a half
16\办法\bànfǎ\means; method; way (of doing sth); CL:條|条[tiáo],個|个[gè]
17\办公室\bàngōngshì\an office; business premises; a bureau; CL:間|间[jiān]
18\帮忙\bāngmáng\to help; to lend a hand; to do a favor; to do a good turn
19\帮助\bāngzhù\assistance; aid; to help; to assist
20\包\bāo\to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[gè],隻|只[zhī]
21\饱\bǎo\to eat till full; satisfied
22\报纸\bàozhǐ\newspaper; newsprint; CL:份[fèn],期[qī],張|张[zhāng]
23\杯子\bēizi\cup; glass; CL:個|个[gè],支[zhī],枝[zhī]
24\北方\běifāng\north; the northern part a country; China north of the Yellow River
25\北京\běijīng\Beijing, capital of People's Republic of China; Peking; PRC government
26\被\bèi\by (indicates passive-voice sentences or clauses); quilt; to cover (literary)
27\本\běn\roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally
28\鼻子\bízi\nose; CL:個|个[gè],隻|只[zhī]
29\比\bǐ\(particle used for comparison and "-er than"); to compare; to contrast; to gesture (with hands); ratio
30\比较\bǐjiào\compare; contrast; fairly; comparatively; relatively; quite; rather
31\比赛\bǐsài\competition (sports etc); match; CL:場|场[chǎng],次[cì]
32\必须\bìxū\to have to; must; compulsory; necessarily
33\变化\biànhuà\change; variation; to change; to vary; CL:個|个[gè]
34\表示\biǎoshì\to express; to show; to say; to state; to indicate; to mean
35\表演\biǎoyǎn\play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chǎng]
36\别\bié\to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin
