number\chinese\pinyin\translations
1\阿姨\āyí\maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[gè]
2\啊\a\modal particle ending sentence, showing affirmation, approval, or consent
3\唉\āi\interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh
4\哎哟\āiyō\hey; ow; ouch; interjection of pain or surprise
5\挨\ái\to suffer from; to endure; to tide over (a difficult period); to delay
6\癌症\áizhèng\cancer
7\矮\ǎi\low; short (in length)
8\爱\ài\to love; affection; to be fond of; to like
9\爱不释手\àibùshìshǒu\to love sth too much to part with it (idiom); to fondle admiringly
10\爱戴\àidài\to love and respect; love and respect
11\爱好\àihào\to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[gè]
12\爱护\àihù\to cherish; to treasure; to take care of; to love and protect
13\暧昧\àimèi\vague; ambiguous; equivocal; dubious
14\爱情\àiqíng\romance; love (romantic); CL:個|个[gè]
15\爱惜\àixī\to cherish; to treasure; to use sparingly
16\爱心\àixīn\compassion; CL:片[piàn]
17\安静\ānjìng\quiet; peaceful; calm
18\安居乐业\ānjūlèyè\live in peace and work happily (idiom)
19\安宁\ānníng\peaceful; tranquil; calm; composed
20\安排\ānpái\to arrange; to plan; to set up
21\安全\ānquán\safe; secure; safety; security
22\安慰\ānwèi\to comfort; to console; CL:個|个[gè]
23\安详\ānxiáng\serene
24\安置\ānzhì\find a place for; help settle down; arrange for; to get into bed; placement
25\安装\ānzhuāng\install; erect; fix; mount; installation
26\岸\àn\bank; shore; beach; coast; CL:個|个[gè]
27\暗\àn\dark; gloomy; hidden; secret; muddled; obscure; in the dark
28\案件\ànjiàn\law case; legal case; judicial case; CL:宗[zōng],樁|桩[zhuāng],起[qǐ]
29\案例\ànlì\case (law); CL:個|个[gè]
30\按摩\ànmó\massage
31\按时\ànshí\on time; before deadline; on schedule
32\暗示\ànshì\to hint; to suggest; suggestion; a hint
33\按照\ànzhào\according to; in accordance with; in the light of; on the basis of
34\昂贵\ángguì\expensive; costly
35\凹凸\āotū\bumpy; uneven; slotted and tabbed joint; crenelation
36\熬\áo\(of cooking) to boil for a long time; to endure; to suffer
37\奥秘\àomì\profound; deep; a mystery
38\八\bā\eight; 8
